label,papers,overall_share,first_half_share,second_half_share,slope_pp_per_month,change_pp
portfolio,113,0.2156,0.2,0.2299,0.7977,2.9927
forecasting,90,0.1718,0.212,0.135,-1.6183,-7.6964
text_altdata,85,0.1622,0.144,0.1788,1.3801,3.4832
trading,45,0.0859,0.064,0.1058,1.0326,4.1839
credit_fraud,40,0.0763,0.084,0.0693,-0.623,-1.4657
other,38,0.0725,0.076,0.0693,-0.3912,-0.6657
risk,32,0.0611,0.068,0.0547,-0.3501,-1.3255
derivatives,31,0.0592,0.052,0.0657,0.17,1.3693
crypto,27,0.0515,0.044,0.0584,0.2169,1.4394
asset_pricing,17,0.0324,0.04,0.0255,-0.6076,-1.4453
macro_econ,6,0.0115,0.016,0.0073,-0.0069,-0.8701
